**ULMS SYSTEM - ACTUAL TEST EXECUTION LOG**
**Date:** 2026-05-06  
**Build Version:** 1.0.0.10-debug  
**Test Environment:** Windows 11 Pro x64  

"Step #","Test Case ID","Test Step Description","Test Input / Data","Actual System Response","Result"
"1","TC-LOGIN-01","Enter valid admin credentials","U: admin, P: 1234","Popup ""Login Successful!"" displayed. Redirected to FrmDashboard.","PASS"
"2","TC-LOGIN-02","Enter incorrect username","U: wrong_user, P: 1234","Popup ""Invalid login credentials."" displayed.","PASS"
"3","TC-LOGIN-04","Test security loophole (OR logic)","U: hacker, P: 1234","**SECURITY BREACH:** System allowed login with any username.","FAIL"
"4","TC-ENROLL-01","Submit course enrollment form","Student: STU001, Course: IT","Success message updated in output label.","PASS"
"5","TC-ENROLL-02","Submit enrollment without course","Course: [NULL]","**LOGIC ERROR:** System accepted blank course field.","FAIL"
"6","TC-MARKS-01","Input non-numeric data in marks","Mark: ""ABSENT""","**SYSTEM CRASH:** Unhandled Exception: System.FormatException.","FAIL"
"7","TC-MARKS-02","Input boundary marks (50,50,50)","Sub1: 50, Sub2: 50, Sub3: 50","**CALCULATION ERROR:** Average displayed as 116.66.","FAIL"
"8","TC-MARKS-03","Verify BODMAS logic (10,10,10)","Sub1: 10, Sub2: 10, Sub3: 10","**CALCULATION ERROR:** Average displayed as 23.33.","FAIL"
"9","TC-REPORT-01","Generate ""Marks Report""","Select: Marks Report","**DATA ERROR:** Report output hardcoded to ""Average: 169"".","FAIL"
"10","TC-REPORT-02","Generate report with no selection","Select: [Empty]","Output: ""No report type selected.""","PASS"
